time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
8.356783875324149e-09	3.996777e-03	3.999600e-01	1.239197e-01	-2.242658e-02
8.380781558746207e-09	4.015716e-03	3.999600e-01	1.245897e-01	-2.250523e-02
8.406000624767491e-09	4.033955e-03	3.999600e-01	1.252946e-01	-2.258827e-02
8.425198771505137e-09	4.046530e-03	3.999600e-01	1.258323e-01	-2.265186e-02
8.456860216628542e-09	4.065215e-03	3.999600e-01	1.267203e-01	-2.275707e-02
8.481115881188046e-09	4.077683e-03	3.999600e-01	1.274023e-01	-2.283799e-02
8.502834278092696e-09	4.087754e-03	3.999600e-01	1.280136e-01	-2.291054e-02
8.512536543916497e-09	4.092615e-03	3.999600e-01	1.282871e-01	-2.294300e-02
8.525472898348233e-09	4.100232e-03	3.999600e-01	1.286522e-01	-2.298638e-02
8.552850950316771e-09	4.119233e-03	3.999600e-01	1.294255e-01	-2.307837e-02
8.561883008947171e-09	4.126451e-03	3.999600e-01	1.296811e-01	-2.310888e-02
8.573925753787705e-09	4.137047e-03	3.999600e-01	1.300221e-01	-2.314972e-02
8.602867622540846e-09	4.165595e-03	3.999600e-01	1.308426e-01	-2.324833e-02
8.652884294764922e-09	4.215397e-03	3.999600e-01	1.322649e-01	-2.342147e-02
8.679860043207717e-09	4.239895e-03	3.999600e-01	1.330345e-01	-2.351618e-02
8.705983909668173e-09	4.261758e-03	3.999600e-01	1.337810e-01	-2.360842e-02
8.724481565743234e-09	4.275900e-03	3.999600e-01	1.343107e-01	-2.367420e-02
8.757850347499755e-09	4.298962e-03	3.999600e-01	1.352679e-01	-2.379334e-02
8.846889875322257e-09	4.339082e-03	3.999600e-01	1.378379e-01	-2.411952e-02
8.935929403144757e-09	4.366819e-03	3.999600e-01	1.404241e-01	-2.443983e-02
9.024968930967260e-09	4.382175e-03	3.999600e-01	1.430265e-01	-2.475427e-02
9.114008458789762e-09	4.385148e-03	3.999600e-01	1.456451e-01	-2.506283e-02
9.203047986612264e-09	4.375739e-03	3.999600e-01	1.482799e-01	-2.536551e-02
9.292087514434764e-09	4.353947e-03	3.999600e-01	1.509308e-01	-2.566232e-02
9.381127042257267e-09	4.319773e-03	3.999600e-01	1.535980e-01	-2.595326e-02
9.603201067022342e-09	4.225797e-03	3.999600e-01	1.602795e-01	-2.661712e-02
9.612804250279575e-09	4.222433e-03	3.999600e-01	1.605692e-01	-2.664409e-02
9.625608494622552e-09	4.220535e-03	3.999600e-01	1.609557e-01	-2.667991e-02
9.653217739246415e-09	4.223215e-03	3.999600e-01	1.617891e-01	-2.675692e-02
9.681228322377124e-09	4.230860e-03	3.999600e-01	1.626350e-01	-2.683482e-02
9.703234411470492e-09	4.237990e-03	3.999600e-01	1.632996e-01	-2.689603e-02
9.757248143123133e-09	4.254439e-03	3.999600e-01	1.649317e-01	-2.704633e-02
